Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/India/TN-CDFD-W5-206/2022	Asmita Gupta et al	EPI_ISL_11930755	Directorate of Public Health and Preventive Medicine	CDFD-INSACOG		GISAID	sars2_21L
hCoV-19/Chile/RM-43100/2022	Karen Orostica et al	EPI_ISL_12695226	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Qatar/DA-USAFSAM-S17135/2022	Anthony Fries et al	EPI_ISL_13560409	US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine		GISAID	sars2_21L
hCoV-19/Suriname/SR-1019/2022	Bas B Oude Munnink et al	EPI_ISL_13131256	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center		GISAID	sars2_21L
hCoV-19/Malaysia/IMR_WC223575/2022	Kalyanasundram J et al	EPI_ISL_12101317	Kuala Lumpur International Airport	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia		GISAID	sars2_21L
hCoV-19/Morocco/826/2022	Hassan Ihazmade et al	EPI_ISL_13408033	NIC at National Institute of Hygiene	National Institute of Hygiene		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-90921/2022	Adam Meijer et al	EPI_ISL_11118900	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-92125/2022	Adam Meijer et al	EPI_ISL_11407573	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-101097/2022	Adam Meijer et al	EPI_ISL_12954023	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-102256/2022	Adam Meijer et al	EPI_ISL_13332182	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-99713/2022	Adam Meijer et al	EPI_ISL_12782663	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/India/OR_RMRC_B-ICMR-INSACOG-BBS424162/2022	Subhra Subhadra et al	EPI_ISL_13344408	ICMR- Regional Medical Research Centre	NIV Influenza		GISAID	sars2_21L
hCoV-19/Georgia/Tb-sNGS4052/2022	Giorgi Tomashvili et al	EPI_ISL_9856191	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.		GISAID	sars2_21L
hCoV-19/Nepal/NPHL-S-1513/2022	National Public Health Laboartory Team/Alfa Health Care et al	EPI_ISL_12728822	Alfa Health Care and Diagnostics	National Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-103982/2022	Adam Meijer et al	EPI_ISL_13760620	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Australia/QLD0x00F16C/2022	Patricia Wolf on behalf of Q-PHIRE Genomics et al	EPI_ISL_13197815	Pathology Queensland and Forensic Scientific Services	PHV-FSS		GISAID	sars2_21L
hCoV-19/Brazil/SC-UFSC_LABIONFO-M403/2022	Dayane Azevedo Padilha et al	EPI_ISL_16896673	Laboratório de Bioinformática / UFSC	Laboratório de Bioinformática / UFSC		GISAID	sars2_21L
hCoV-19/Cameroon/15200/2022	Njouom Richard et al	EPI_ISL_15763787	CENTRE PASTEUR DU CAMEROUN	CENTRE PASTEUR DU CAMEROUN		GISAID	sars2_21L
hCoV-19/Suriname/SR-1046/2022	Bas B Oude Munnink et al	EPI_ISL_13131283	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center		GISAID	sars2_21L
hCoV-19/Suriname/SR-1035/2022	Bas B Oude Munnink et al	EPI_ISL_13131272	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-89748/2022	Alfredo Bruno et al	EPI_ISL_12598419	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/Suriname/SR-1014/2022	Bas B Oude Munnink et al	EPI_ISL_13131251	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center		GISAID	sars2_21L
hCoV-19/Suriname/SR-1011/2022	Bas B Oude Munnink et al	EPI_ISL_13131248	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center		GISAID	sars2_21L
hCoV-19/USA/TN-CDC-QDX36604534/2022	Dakota Howard et al	EPI_ISL_12788604	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON549052.1	GISAID	sars2_21L
hCoV-19/Lebanon/A24/2022	Nada M. Melhem et al	EPI_ISL_16583655	Ain Wazein Hospital	Melhem/Matar lab		GISAID	sars2_21L
hCoV-19/Iran/NIC-26Or-23/2022	V Salimi et al	EPI_ISL_12970531	Shahrekord University of Medical Sciences	National Influenza Center		GISAID	sars2_21L
hCoV-19/France/ARA-HCL722001362901/2022	Antonin Bal et al	EPI_ISL_11425072	MIRIALIS CLUSES BECHET	CNR Virus des Infections Respiratoires - France SUD		GISAID	sars2_21L
hCoV-19/Bahrain/R322690041125/2022	Marhoon et al	EPI_ISL_14064429	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	ON106889.1	GISAID	sars2_21L
hCoV-19/TrinidadandTobago/149516/2022	Nikita S. D. Sahadeo et al	EPI_ISL_11998998	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus		GISAID	sars2_21L
hCoV-19/TrinidadandTobago/153389/2022	Nikita S. D. Sahadeo et al	EPI_ISL_12877758	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus		GISAID	sars2_21L
hCoV-19/TrinidadandTobago/154244/2022	Nikita S. D. Sahadeo et al	EPI_ISL_12877767	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus		GISAID	sars2_21L
hCoV-19/Guatemala/4859-LNS/2022	Mendoza L et al	EPI_ISL_13490306	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Colombia/DC-UNIANDES-VG-19189/2022	Daniel Sarmiento et al	EPI_ISL_14707085	Instituto Nacional de Salud	Gencore - Universidad de los Andes		GISAID	sars2_21L
hCoV-19/Bulgaria/22BG-EU_020140_Pl190/2022	Alexiev et al	EPI_ISL_13138766	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases		GISAID	sars2_21L
hCoV-19/Paraguay/458904/2022	Sandra González et al	EPI_ISL_13350785	Laboratorio Curie SRL	Laboratorio Central de Salud Pública		GISAID	sars2_21L
hCoV-19/Kenya/SS8370/2022	Githinji G. et al	EPI_ISL_12905598	Pathologist Lancet Kenya	KEMRI-Wellcome Trust Research Programme,Kilifi	ON603284.1	GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-100070/2022	Adam Meijer et al	EPI_ISL_12782628	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Qatar/DA-USAFSAM-S14060/2022	Anthony Fries et al	EPI_ISL_11131839	US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine		GISAID	sars2_21L
hCoV-19/Spain/AN-CBA-25504/2022	María Lara on behalf of SARS-CoV-2 whole genome sequencing circuit of Andalusia et al	EPI_ISL_16239526	Servicio de Microbiologia, Hospital Reina Sofia, Cordoba, Spain	Clinical Bioinformatics Area, Fundación Progreso y Salud		GISAID	sars2_21L
hCoV-19/Brazil/SC-FIOCRUZ-11792/2022	Paola Resende et al	EPI_ISL_13564442	Laboratorio Central de Saude Publica do Estado de Santa Catarina (LACEN/SC)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ		GISAID	sars2_21L
hCoV-19/Romania/TR_519251/2022	Catalina Pascu et al	EPI_ISL_13884837	Cantacuzino National Military-Medical Institute, Viral Respiratory Infections Laboratory	Cantacuzino National Military-Medical Institute, Viral Respiratory Infections Laboratory		GISAID	sars2_21L
hCoV-19/England/LSPA-3B9239D/2022	Donald Fraser et al	EPI_ISL_11432501	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	OW488540.1	GISAID	sars2_21L
hCoV-19/Spain/MD-HULP-061101949/2022	Fernando Lázaro et al	EPI_ISL_12789810	Servicio Microbiología Hospital La Paz	Servicio Microbiología Hospital La Paz		GISAID	sars2_21L
hCoV-19/USA/MN-MDH-26168/2022	Jacob Garfin et al	EPI_ISL_13289183	INFINITY BIOLOGIX	Minnesota Department of Health, Public Health Laboratory	ON761666.1	GISAID	sars2_21L
hCoV-19/Argentina/PAIS-E0976/2022	Eberhardt et al	EPI_ISL_12030877	Laboratorio Central de la Ciudad de Santa Fe	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		GISAID	sars2_21L
hCoV-19/Estonia/19501402/2022	Abroi A. et al	EPI_ISL_13133926	Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH		GISAID	sars2_21L
hCoV-19/Austria/AGES-159701/2022	Marion Blaschitz et al	EPI_ISL_14511894	Institut f. med. Mikrobiologie & Hygiene - Österr. AGES GmbH	Institut f. med. Mikrobiologie & Hygiene - Österr. AGES GmbH		GISAID	sars2_21L
hCoV-19/Qatar/DA-USAFSAM-S15821/2022	Anthony Fries et al	EPI_ISL_12731448	US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine		GISAID	sars2_21L
hCoV-19/Pakistan/NIH-B90-S13/2022	Massab Umair et al	EPI_ISL_15111871	Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan		GISAID	sars2_21L
hCoV-19/CaboVerde/ST1402/2022	Kevin Sanders et al	EPI_ISL_14076742	Virology Laboratory of Praia	Instituto Nacional de Saúde Pública (INSP)		GISAID	sars2_21L
hCoV-19/CaboVerde/ST5178/2022	Kevin Sanders et al	EPI_ISL_14076741	Virology Laboratory of Praia	Instituto Nacional de Saúde Pública (INSP)		GISAID	sars2_21L
hCoV-19/Malaysia/IMR_OS1219/2022	Kalyanasundram J et al	EPI_ISL_13064671	Kuala Lumpur International Airport	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia		GISAID	sars2_21L
hCoV-19/Cyprus/CING_65_2903_Pa/2022	Jan Richter et al	EPI_ISL_13774086	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics		GISAID	sars2_21L
hCoV-19/Afghanistan/barcode04/2022	Momin Khan Murad et al	EPI_ISL_15063850	Central Public Health Lab	Central Public Health Lab		GISAID	sars2_21L
hCoV-19/Hungary/MBL-14112/2022	Csaba István Pereszlényi et al	EPI_ISL_17033628	Hungarian Defence Forces Medical Centre COVID Laboratory	Hungarian Defence Forces Medical Centre Epidemiological and Scientific Research Institute		GISAID	sars2_21L
hCoV-19/Israel/CVL-9005129/2022	Neta Zuckerman et al	EPI_ISL_13112003	Public health laboratories Tel Aviv	Israel Central Virology laboratory		GISAID	sars2_21L
hCoV-19/Iran/NIC-25t-2/2022	A Nejati et al	EPI_ISL_14290244	Shiraz University of Medical Sciences	National Influenza Center		GISAID	sars2_21L
hCoV-19/Iran/NIC-30Kh-47/2022	K Sadeghi et al	EPI_ISL_13464022	Behbahan University of Medical Sciences	National Influenza Center		GISAID	sars2_21L
hCoV-19/Guadeloupe/CERBAHC-0473528/2022	Bénédicte Roquebert et al	EPI_ISL_12177755	LBBMS BIO POLE ANTILLES	CERBA HealthCare		GISAID	sars2_21L
hCoV-19/Maldives/MAV190135/2022	D. Fathmath Nazla Rafeeq et al	EPI_ISL_12635662	Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital		GISAID	sars2_21L
hCoV-19/Latvia/2202052075/2022	Reinis Vangravs et al	EPI_ISL_13628452	Riga East Clinical University Hospital	Riga East Clinical University Hospital, National Microbiology Reference Laboratory		GISAID	sars2_21L
hCoV-19/Mauritius/N43301/2022	Magalutcheemee R et al	EPI_ISL_14513628	CENTRAL HEALTH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Vanuatu/VAN060/2022	Sero et al	EPI_ISL_15640930	Vila Central Hospital	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)		GISAID	sars2_21L
hCoV-19/Singapore/4509/2022	Benny Yeo et al	EPI_ISL_12645989	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/USA/IN-CDC-ASC210820611/2022	Dakota Howard et al	EPI_ISL_10492010	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM861976.1	GISAID	sars2_21L
hCoV-19/USA/WI-WSLH-2205414/2022	Christopher R. Jossart et al	EPI_ISL_13892993	Wisconsin State Laboratory of Hygiene Communicable Disease Division	Wisconsin State Laboratory of Hygiene Communicable Disease Division		GISAID	sars2_21L
hCoV-19/Oman/7228994/2022	Samiha Al Kharusi et al	EPI_ISL_14241491	Oman-NIC	Oman-NIC		GISAID	sars2_21L
hCoV-19/Singapore/9172/2022	Yichen Ding et al	EPI_ISL_14192596	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/Norway/Ahus-3736/2022	Hege Vangstein Aamot et al	EPI_ISL_12538613	Dept. of Microbiology and Infection Control, Akershus University Hospital HF	Dept. of Microbiology and Infection Control, Akershus University Hospital HF		GISAID	sars2_21L
hCoV-19/USA/NY-CDC-LC0705570/2022	Dakota Howard et al	EPI_ISL_13559140	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON822033.1	GISAID	sars2_21L
hCoV-19/Georgia/Tb-sNGS4735/2022	Giorgi Tomashvili et al	EPI_ISL_11029771	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.		GISAID	sars2_21L
hCoV-19/Australia/QLD0x00E91E/2022	Son Nguyen on behalf of Q-PHIRE Genomics et al	EPI_ISL_12807393	Pathology Queensland and Forensic Scientific Services	PHV-FSS		GISAID	sars2_21L
hCoV-19/Australia/QLD0x00DEB1/2022	Mitchell Sullivan on behalf of Q-PHIRE Genomics et al	EPI_ISL_12048466	Pathology Queensland and Forensic Scientific Services	PHV-FSS		GISAID	sars2_21L
hCoV-19/Peru/LIM-UNMSM-0118/2022	Dennis Carhuaricra et al	EPI_ISL_14077699	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Laboratorio de Biologia y Genética Molecular, FMV, Universidad Nacional Mayor de San Marcos		GISAID	sars2_21L
hCoV-19/SaudiArabia/KAU_CEBR_C85/2022	Ahmed Bouna et al	EPI_ISL_15669330	Alborg Diagnostics	Centre of Excellence in Bionanoscience Research		GISAID	sars2_21L
hCoV-19/NewZealand/22YA0171/2022	Sarah Cockerton et al	EPI_ISL_15323609	Medlab Central, Palmerston North Hospital	Institute of Environmental Science and Research (ESR), Kenepuru Science Centre		GISAID	sars2_21L
hCoV-19/USA/WI-UW-10671/2022	Gage Moreno et al	EPI_ISL_12456842	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	OP517003.1	GISAID	sars2_21L
hCoV-19/Brazil/SP-HIAE-ID2001/2022	Deyvid Amgarten et al	EPI_ISL_13492305	LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein	LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein		GISAID	sars2_21L
hCoV-19/Brazil/SC-LACENSC-421296367/2022	Sandra Bianchini Fernandes et al	EPI_ISL_13507462	Laboratório Central de Saúde Pública do Estado de Santa Catarina (LACEN/SC)	Laboratório Central de Saúde Pública do Estado de Santa Catarina (LACEN/SC)		GISAID	sars2_21L
hCoV-19/Netherlands/ZH-NMDL-01266/2022	Anne Vogel et al	EPI_ISL_11005646	Eurofins-NMDL	Eurofins-NMDL		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-97629/2022	Adam Meijer et al	EPI_ISL_12550456	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Ecuador/USFQ-3297/2022	Mateo Carvajal et al	EPI_ISL_12109490	Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito		GISAID	sars2_21L
hCoV-19/USA/MI-UM-10043599022/2022	Gilbert et al	EPI_ISL_9695921	University of Michigan Clinical Microbiology Laboratory	Lauring Lab, University of Michigan, Department of Microbiology and Immunology		GISAID	sars2_21L
hCoV-19/Mongolia/UB-60011/2022	Naranzul Tsedenbal et al	EPI_ISL_14713977	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center		GISAID	sars2_21L
hCoV-19/Belgium/rega-41386/2022	Tony Wawina-Bokalanga et al	EPI_ISL_14672203	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology		GISAID	sars2_21L
hCoV-19/Italy/LOM_ASSTMonza_6000052158_20220310072900/2022	Sergio Maria Ivano Malandrin et al	EPI_ISL_11170333	ASST MONZA	ASST MONZA		GISAID	sars2_21L
hCoV-19/Belgium/Jessa_11-2220-004833ZOL/2022	Laura Vanstraelen et al. on behalf of the Jessa_cmdLab et al	EPI_ISL_12875727	ZOL	Jessa		GISAID	sars2_21L
hCoV-19/Haiti/27491/2022	Paola Resende et al	EPI_ISL_16585362	Laboratoire National de Santé Publique	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ		GISAID	sars2_21L
hCoV-19/Sweden/YZT483/2022	Emmi Andersson et al	EPI_ISL_13185344	Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-94726/2022	Adam Meijer et al	EPI_ISL_11840143	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Paraguay/469578/2022	Sandra González et al	EPI_ISL_13858651	Laboratorio Central de Salud Pública	Laboratorio Central de Salud Pública		GISAID	sars2_21L
hCoV-19/Argentina/PAIS-J00272/2022	Florencia Ferrini et al	EPI_ISL_14479056	Laboratorio de Medicina Genómica	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		GISAID	sars2_21L
hCoV-19/Lebanon/HH-1039/2022	Ghassan Dbaibo et al	EPI_ISL_17022871	Hammoud Hospital University Medical Center (HHUMC)	Center for Infectious Diseases Research (CIDR)- The Global Influenza Hospital Surveillance Network (GIHSN)		GISAID	sars2_21L
hCoV-19/CotedIvoire/IPCI-DVE-Ecov714253/2022	Hervé Albéric Adje Kadjo et al	EPI_ISL_15908231	Departement of Epidemic Viruses, Institut Pasteur of Cote d'Ivoire Abidjan	Departement of Epidemic Viruses, Institut Pasteur of Cote d'Ivoire Abidjan		GISAID	sars2_21L
hCoV-19/Switzerland/BS-UHB-43299313/2022	Tim Roloff et al	EPI_ISL_9325266	Clinical Virology	Clinical Bacteriology, University Hospital Basel		GISAID	sars2_21L
