Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/Ecuador/USFQ-113/2020	EPI_ISL_486848		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al	GISAID	sars2
hCoV-19/Ecuador/USFQ-177/2020	EPI_ISL_525431		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Juan José Guadalupe et al	GISAID	sars2
hCoV-19/Maldives/MAV04600/2020	EPI_ISL_3275391		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al	GISAID	sars2
hCoV-19/Maldives/MAV09481/2020	EPI_ISL_3275392		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al	GISAID	sars2
hCoV-19/Maldives/MAV02981/2020	EPI_ISL_3275387		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al	GISAID	sars2
hCoV-19/Maldives/MAV01979/2020	EPI_ISL_3275385		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al	GISAID	sars2
hCoV-19/Maldives/MAV00499/2020	EPI_ISL_3275380		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al	GISAID	sars2
hCoV-19/Maldives/MAV00052/2020	EPI_ISL_3275382		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al	GISAID	sars2
hCoV-19/CzechRepublic/IAB20_016_091/2020	EPI_ISL_889397		Olomouc University Hospital	Institute of Applied Biotechnologies a.s.	Petr Klempt et al	GISAID	sars2
hCoV-19/Luxembourg/LNS5372169/2020	EPI_ISL_429800		Laboratoire National de Sante, Microbiology, Virology	Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics	Anke Wienecke-Baldacchino et al	GISAID	sars2
hCoV-19/Scotland/CVR3534/2020	EPI_ISL_473672		West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	COVID-19 Genomics UK (COG-UK) Consortium	Ana da Silva Filipe et al	GISAID	sars2
hCoV-19/Denmark/SSI-02/2020	EPI_ISL_416143		Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	ViFU	Morten Rasmussen et al	GISAID	sars2
hCoV-19/Lebanon/ML3_S40/2020	EPI_ISL_12470102		Rafik Hariri University Hospital	Khazen Lab	Rola Husni et al	GISAID	sars2
hCoV-19/SaudiArabia/KAUST-JEDDAH470/2020	EPI_ISL_512925	OU990226.1	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Fadwa Alofi et al	GISAID	sars2
hCoV-19/USA/SC-MCRDPI_20_2124-T28/2020	EPI_ISL_5441544		Sealfon Laboratory, Department of Neurology, Icahn School of Medicine at Mount Sinai	van Bakel Laboratory, Genetics and Genomics Sciences, Icahn School of Medicine at Mount Sinai	Rhonda A. Lizewski et al	GISAID	sars2
hCoV-19/USA/IL-RIPHL_12588_Y/2020	EPI_ISL_16101941		Rush University Medical Center	RIPHL at Rush University Medical Center	Stefan Green et al	GISAID	sars2
hCoV-19/mink/Netherlands/NB-EMC-34-3/2020	EPI_ISL_577769		Dutch COVID-19 response team	Erasmus Medical Center	OH consortium et al	GISAID	sars2
hCoV-19/Netherlands/NB-EMC-739/2020	EPI_ISL_1311266		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	GISAID	sars2
hCoV-19/Tunisia/Y3940/2020	EPI_ISL_11172716		Laboratory of Clinical Virology, Institut Pasteur de Tunis	Laboratory of Clinical Virology, Institut Pasteur de Tunis	Wasfi Fares et al	GISAID	sars2
hCoV-19/Curacao/CW-RIVM-21728/2020	EPI_ISL_1014555		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Australia/SA0342/2020	EPI_ISL_483119		SA Pathology	SA Pathology	Lex Leong et al	GISAID	sars2
hCoV-19/Djibouti/CNSS00390-IHU1031243473/2020	EPI_ISL_2820626		Laboratoire de Diagnostic, Centre de Soins 1, Caisse Nationale de Sécurité Sociale (CNSS) de Djibouti.	IHU Méditerranée Infection.	Ikram Omar Osman et al	GISAID	sars2
hCoV-19/Slovenia/39633/2020	EPI_ISL_1510939		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al	GISAID	sars2
hCoV-19/Bahamas/33821/2020	EPI_ISL_1415415		Reference Laboratory of the Ministry of Health	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al	GISAID	sars2
hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI023/2021	EPI_ISL_1016508		University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	Goletic T. et al	GISAID	sars2
hCoV-19/USA/IA-GMF-12677/2020	EPI_ISL_547643		Gundersen Molecular Diagnostics Laboratory	Kabara Cancer Research Institute	Craig S. Richmond et al	GISAID	sars2
hCoV-19/Morocco/6890/2020	EPI_ISL_459968		Institut Pasteur du Maroc	Institut Pasteur du Maroc	Marion Barbet et al A (https://dx.doi.org/10.1101/2020.06.23.165902)	GISAID	sars2
hCoV-19/Benin/197/2020	EPI_ISL_476822	MT653071.1	Laboratoire des Fièvres Hémorragiques Virales du Benin	Charité-Universitätsmedizin Berlin	Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)	GISAID	sars2
hCoV-19/Slovenia/4478/2020	EPI_ISL_2643974		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al	GISAID	sars2
hCoV-19/DRC/3768/2020	EPI_ISL_447239		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)	GISAID	sars2
hCoV-19/Gabon/ITM-K023/2020	EPI_ISL_539574		Centre de Recherches Medicales de Lambarene (CERMEL)	Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University	Haruka Abe et al	GISAID	sars2
hCoV-19/Morocco/FMP-46/2020	EPI_ISL_775222		Laboratoire Biolife	Laboratoire de Biotechnologie	Mouna Ouadghiri et al	GISAID	sars2
hCoV-19/env/Morocco/SW5/2020	EPI_ISL_933719		Laboratoire de Recherche et d'Analyses Medicales de la Gendarmerie Royale	Laboratoire de Recherche et d'Analyses Medicales de la Gendarmerie Royale	Sanaâ Lemriss et al	GISAID	sars2
hCoV-19/Suriname/SR-80/2020	EPI_ISL_2502529		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al	GISAID	sars2
hCoV-19/Suriname/SR-55/2020	EPI_ISL_518804		Academic Hospital Paramaribo	Erasmus Medical Center	Bas Oude Munnink et al	GISAID	sars2
hCoV-19/Algeria/17808/2020	EPI_ISL_15928069		NIC, Viral Respiratory Unit	NIC, Viral Respiratory Unit	Mohamed Amine Beloufa et al	GISAID	sars2
hCoV-19/Austria/CeMM2167/2020	EPI_ISL_11229658		Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al	GISAID	sars2
hCoV-19/Luxembourg/LNS4885848/2020	EPI_ISL_428941		Laboratoire National de Sante, Microbiology, Virology	Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics	Anke Wienecke-Baldacchino et al	GISAID	sars2
hCoV-19/Cameroon/Yaounde-01-ECO33/2021	EPI_ISL_1296463		CREMER(Centre de Rechercherches sur les Maladies Emergentes et Ré-émergentes)	TransVIHMI(Recherches Translationnelles sur le VIH et les Maladies Infectieuses)	Celestin Godwe et al	GISAID	sars2
hCoV-19/Cameroon/CV439/2020	EPI_ISL_845561		National Public Health Laboratory, Cameroon	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University	Oluniyi P.E. et al A	GISAID	sars2
hCoV-19/Spain/IB-BAL00095/2020	EPI_ISL_1638268		CAN MISSES HOSPITAL	SON ESPASES UNIVERSITARY HOSPITAL	Carla López-Causapé et al	GISAID	sars2
hCoV-19/Germany/SN-RKI-NP-0079/2020	EPI_ISL_860298		Unit 17: Influenza & Other Respiratory Viruses, German National Influenza Center	Project group Epidemiology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Andreas Sachse et al	GISAID	sars2
hCoV-19/Austria/MUIV-0069/2020	EPI_ISL_3277342		Institute of Virology Department of Hygiene, Microbiology and Public Health at Innsbruck Medical University	Institute of Virology Department of Hygiene, Microbiology and Public Health at Innsbruck Medical University	Annika Roessler et al	GISAID	sars2
hCoV-19/Netherlands/ZH-EMC-605/2020	EPI_ISL_578033		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	GISAID	sars2
hCoV-19/Netherlands/ZH-EMC-559/2020	EPI_ISL_577987		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	GISAID	sars2
hCoV-19/Netherlands/un-EMC-796/2020	EPI_ISL_632777		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	GISAID	sars2
hCoV-19/SouthKorea/KDCA4741/2021	EPI_ISL_2710476		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al	GISAID	sars2
hCoV-19/Mauritanie/CT552/2021	EPI_ISL_11380685		INRSP-Mauritania	INRSP-Mauritania	Sidi mohamed Ahmed et al	GISAID	sars2
hCoV-19/Congo/FCRM-19-8448/2021	EPI_ISL_2889841		Fondation Congolaise pour la recherche medicale (FCRM)	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al	GISAID	sars2
hCoV-19/Congo/FCRM-50-A29-07-07/2021	EPI_ISL_3033808		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al	GISAID	sars2
hCoV-19/Cameroon/Yaounde-02-ECO23/2021	EPI_ISL_1296439		CREMER(Centre de Rechercherches sur les Maladies Emergentes et Ré-émergentes)	TransVIHMI(Recherches Translationnelles sur le VIH et les Maladies Infectieuses)	Celestin Godwe et al	GISAID	sars2
hCoV-19/Guinea/Conakry_IPG14494/2020	EPI_ISL_2245858		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al	GISAID	sars2
hCoV-19/BosniaandHerzegovina/ChVir7396/2020	EPI_ISL_462466		Clinical Center, University of Sarajevo	Charite Universitatsmedizin Berlin, Institute of Virology	Victor M Corman et al B	GISAID	sars2
hCoV-19/Belize/CML-47/2021	EPI_ISL_4296355		Central Medical Laboratory	Baylor College of Medicine	Alexander Kneubehl et al	GISAID	sars2
hCoV-19/Belize/CML-35/2021	EPI_ISL_4296343		Central Medical Laboratory	Baylor College of Medicine	Alexander Kneubehl et al	GISAID	sars2
hCoV-19/Hungary/SRC-00572w/2020	EPI_ISL_435431		Virological Research Group, Szentágothai Research Centre	Bioinformatics Research Group, Szentágothai Research Centre	Péter Urbán et al	GISAID	sars2
hCoV-19/Bulgaria/21BG-EU_397_Pl5/2021	EPI_ISL_1302109		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al	GISAID	sars2
hCoV-19/Bulgaria/21BG-EU_445_Pl5/2020	EPI_ISL_1302125		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al	GISAID	sars2
hCoV-19/Tunisia/GB0726/2020	EPI_ISL_11172657		Laboratory of Clinical Virology, Institut Pasteur de Tunis	Laboratory of Clinical Virology, Institut Pasteur de Tunis	Marwa Khedhiri et al	GISAID	sars2
hCoV-19/USA/WA-S2173/2020	EPI_ISL_497601	MT831413.1	Washington State Department of Health	Seattle Flu Study	Deborah A. Nickerson et al	GISAID	sars2
hCoV-19/Mexico/CMX-INER-0006/2020	EPI_ISL_837608		Instituto Nacional de Enfermedades Respiratorias (INER)	Instituto Nacional de Enfermedades Respiratorias (INER)	Celia Boukadida et al	GISAID	sars2
hCoV-19/Mexico/GUA-InDRE-IBT-99/2020	EPI_ISL_1301511		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al	GISAID	sars2
hCoV-19/Mexico/PUE-IBT-IMSS-457/2020	EPI_ISL_1301640	OK436130.1	Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al	GISAID	sars2
hCoV-19/USA/AK-PHL383/2020	EPI_ISL_560554	MW079838.1	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Jack Chen et al	GISAID	sars2
hCoV-19/NewZealand/20CHL869065O/2020	EPI_ISL_483060	MT706050.1		Microbiology, Canterbury Health Laboratories	Dilcher et al	GISAID	sars2
hCoV-19/EquatorialGuinea/22908/2020	EPI_ISL_649163		Laboratorio de Investigaciones de Baney	University Hospital Basel, Clinical Bacteriology	Carlos Cortes et al	GISAID	sars2
hCoV-19/EquatorialGuinea/3350/2020	EPI_ISL_648326		Laboratorio de Investigaciones de Baney	University Hospital Basel, Clinical Bacteriology	Carlos Cortes et al	GISAID	sars2
hCoV-19/NewZealand/NZ7_patient/2020	EPI_ISL_8802828		Southern Community Laboratories	Quinones-Mateu Laboratory	Miguel Quinones-Mateu et al	GISAID	sars2
hCoV-19/Bhutan/RCDC0023-SV210039/2021	EPI_ISL_16984378		AFRIMS	AFRIMS	Chonticha Klungthong et al	GISAID	sars2
hCoV-19/Switzerland/BS-UHB-42435736/2020	EPI_ISL_830987		Clinical Virology	Clinical Bacteriology	Madlen Stange et al	GISAID	sars2
hCoV-19/Lithuania/MR-LUHS-Eilnr456/2020	EPI_ISL_636892		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al	GISAID	sars2
hCoV-19/Malawi/COM-SEQ6805/2020	EPI_ISL_8889535		Kamuzu University of Health Sciences, College of Medicine, Department of Pathology	Kamuzu University of Health Sciences, College of Medicine, Department of Pathology	Tonney Nyirenda et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-10326/2020	EPI_ISL_636513		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Uganda/UG019/2020	EPI_ISL_451201		Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)	GISAID	sars2
hCoV-19/NewZealand/20VR3128/2020	EPI_ISL_579426	MZ332419.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al	GISAID	sars2
hCoV-19/Panama/PA1008-GMI/2020	EPI_ISL_11686117		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Panama/508205-GMI/2020	EPI_ISL_13105133		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Panama/GMI-PAFQ050/2021	EPI_ISL_11696337		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Luxembourg/LNS0113568/2020	EPI_ISL_428942		Laboratoire National de Sante, Microbiology, Virology	Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics	Anke Wienecke-Baldacchino et al	GISAID	sars2
hCoV-19/Greece/127_HPI/2020	EPI_ISL_430469		Hellenic Pasteur Institute, Public Health Laboratories	Hellenic Pasteur Institute, Public Health Laboratories, Unit of Bioinformatics and Applied Genomics	Vasiliki Pogka et al	GISAID	sars2
hCoV-19/Mexico/MOR-InDRE-IBT-7/2020	EPI_ISL_1301480		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al	GISAID	sars2
hCoV-19/Panama/2453-GMI/2020	EPI_ISL_13104957		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Panama/GMI-PA451856/2020	EPI_ISL_1225546		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al	GISAID	sars2
hCoV-19/Panama/506580-GMI/2020	EPI_ISL_13105125		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/CzechRepublic/Tilia-09/2020	EPI_ISL_906061		Tilia Laboratories s.r.o.	Tilia Laboratories s.r.o.	Sona Pekova et al	GISAID	sars2
hCoV-19/Mexico/SON-InDRE-IBT-29413-NC/2020	EPI_ISL_3463394		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al	GISAID	sars2
hCoV-19/Malaysia/IMR_MKAI4203/2021	EPI_ISL_2620728		Ipoh Public Health Laboratory (MKAI), Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J et al	GISAID	sars2
hCoV-19/Malaysia/HPUPM_ML6025/2020	EPI_ISL_861721		Department of Medical Microbiology, Hospital Pengajar Universiti Putra Malaysia	Malaysia Genome Institute	Mohd Noor Mat Isa et al	GISAID	sars2
hCoV-19/Malaysia/IMR-WC277457/2020	EPI_ISL_728250		Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J et al	GISAID	sars2
hCoV-19/Malaysia/0350/2020	EPI_ISL_2769381		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al	GISAID	sars2
hCoV-19/Madagascar/IPM-20005/2020	EPI_ISL_3716494		Virology Unit, Institut Pasteur de Madagascar	Institut Pateur de Dakar	Norosoa Razanajatovo et al	GISAID	sars2
hCoV-19/SaintMartin/IPG-7351/2020	EPI_ISL_613451		Institut Pasteur de la Guadeloupe	Institut Pasteur de la Guadeloupe	Marion Barbet et al B	GISAID	sars2
hCoV-19/Israel/130711116/2020	EPI_ISL_447453		Clinical Microbiology Laboratory, Sheba Medical Center	Stern Lab	Stern Lab et al A (https://dx.doi.org/10.1101/2020.05.21.20104521)	GISAID	sars2
hCoV-19/USA/NJ-NYGC-NJ-BioR-156-AmpliSeq/2020	EPI_ISL_2229875		Hackensack Medical Center	New York Genome Center	Michael Zody et al	GISAID	sars2
hCoV-19/Italy/ABR-IZSGC-TE46436/2020	EPI_ISL_529000		Servizio di igiene epidemiologia e sanità pubblica (SIESP)-Chieti	"Istitituto Zooprofilattico Sperimentale dell'Abruzzo e Molise ""G.Caporale"""	Lorusso A et al	GISAID	sars2
hCoV-19/Switzerland/BS-UHB-42398551/2020	EPI_ISL_581966		Clinical Virology	Clinical Bacteriology	Madlen Stange et al	GISAID	sars2
hCoV-19/Malawi/MLW-00107/2020	EPI_ISL_6963037		Malawi Liverpool Wellcome Trust Clinical Research Program	Malawi Liverpool Wellcome Trust Clinical Research Program	Catherine Anscombe et al	GISAID	sars2
hCoV-19/Turkey/HSGM-B12670/2021	EPI_ISL_2363656		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al	GISAID	sars2
hCoV-19/Maldives/MAV16870/2021	EPI_ISL_3452725		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al	GISAID	sars2
hCoV-19/Turkey/HSGM-B4539/2021	EPI_ISL_3032912		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al	GISAID	sars2
